City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
203,Sao Gabriel Da Cachoeira,BR,2022-05-24 00:42:15,-0.1303,-67.0892,72.1,98,32,2.17,light rain
204,Daru,PG,2022-05-24 00:42:15,-9.0763,143.2092,84.34,72,51,12.35,broken clouds
205,San Cristobal,VE,2022-05-24 00:42:16,7.7669,-72.225,73.58,91,100,2.39,overcast clouds
206,Coffs Harbour,AU,2022-05-24 00:42:16,-30.3,153.1333,65.14,77,100,12.66,overcast clouds
207,Dingle,PH,2022-05-24 00:42:16,10.9995,122.6711,85.19,71,11,0.45,few clouds
208,Whittlesea,ZA,2022-05-24 00:42:17,-32.1759,26.8244,52.05,61,12,6.11,few clouds
209,Souillac,MU,2022-05-24 00:42:17,-20.5167,57.5167,73.78,73,20,10.36,few clouds
210,Bethel,US,2022-05-24 00:42:17,41.3712,-73.414,66.65,57,0,4.61,clear sky
211,Chimore,BO,2022-05-24 00:42:18,-16.9833,-65.1333,71.33,87,100,2.57,overcast clouds
212,Herouville-Saint-Clair,FR,2022-05-24 00:42:18,49.2109,-0.3065,54.59,93,0,9.22,clear sky
213,Izumo,JP,2022-05-24 00:42:18,35.3667,132.7667,69.75,52,0,4.61,clear sky
214,Badou,TG,2022-05-24 00:42:19,7.5833,0.6,71.37,94,100,2.66,light rain
215,Srednekolymsk,RU,2022-05-24 00:35:53,67.45,153.6833,46.94,78,100,24.81,light rain
216,Ayagoz,KZ,2022-05-24 00:41:18,47.9714,80.4392,55.42,38,34,15.52,scattered clouds
217,Sandanski,BG,2022-05-24 00:42:19,41.5667,23.2833,61.75,74,53,1.68,broken clouds
218,Linxia,CN,2022-05-24 00:39:10,35.6003,103.2064,63.37,57,76,1.9,broken clouds
219,Colares,PT,2022-05-24 00:42:20,38.7992,-9.4469,61.29,71,0,20.0,clear sky
220,Quatre Cocos,MU,2022-05-24 00:42:20,-20.2078,57.7625,75.09,66,2,16.4,clear sky
221,La Ronge,CA,2022-05-24 00:35:55,55.1001,-105.2842,59.22,28,75,14.97,broken clouds
222,Balakhta,RU,2022-05-24 00:42:20,55.38,91.6,56.16,64,0,2.75,clear sky
223,Agadir,MA,2022-05-24 00:42:21,30.4202,-9.5982,64.85,86,1,7.94,clear sky
224,Tsumeb,NA,2022-05-24 00:42:21,-19.2333,17.7167,54.36,41,0,6.96,clear sky
225,Sorland,NO,2022-05-24 00:42:21,67.667,12.6934,49.86,89,100,13.76,overcast clouds
226,Hasaki,JP,2022-05-24 00:42:21,35.7333,140.8333,72.28,62,4,5.1,clear sky
227,Phu Ly,VN,2022-05-24 00:42:22,20.5411,105.9139,73.53,98,100,7.67,heavy intensity rain
228,Hambantota,LK,2022-05-24 00:34:32,6.1241,81.1185,80.26,82,100,16.73,overcast clouds
229,Aguas Vermelhas,BR,2022-05-24 00:42:22,-15.7472,-41.46,57.29,97,16,3.29,few clouds
230,Ancud,CL,2022-05-24 00:42:23,-41.8697,-73.8203,47.12,79,33,12.62,light rain
231,Mar Del Plata,AR,2022-05-24 00:38:30,-38.0023,-57.5575,56.08,87,100,2.3,moderate rain
232,Flinders,AU,2022-05-24 00:43:23,-34.5833,150.8552,66.06,84,17,5.01,light rain
233,Mahanoro,MG,2022-05-24 00:43:23,-19.9,48.8,66.88,88,8,3.58,clear sky
234,Ankang,CN,2022-05-24 00:43:24,32.68,109.0172,75.76,59,100,2.17,overcast clouds
235,Traverse City,US,2022-05-24 00:41:25,44.7631,-85.6206,51.91,50,75,6.91,broken clouds
236,Trinidad,BO,2022-05-24 00:43:24,-14.8333,-64.9,71.83,86,1,2.3,clear sky
237,East London,ZA,2022-05-24 00:34:34,-33.0153,27.9116,63.07,64,77,4.59,broken clouds
238,Cherskiy,RU,2022-05-24 00:43:24,68.75,161.3,56.98,44,100,21.56,overcast clouds
239,Mahibadhoo,MV,2022-05-24 00:43:25,3.7833,72.9667,82.9,77,96,11.74,overcast clouds
240,Axim,GH,2022-05-24 00:43:25,4.8699,-2.2405,77.47,86,100,7.74,moderate rain
241,Ambon,ID,2022-05-24 00:39:35,-3.6954,128.1814,78.94,89,20,1.14,light rain
242,Nea Stira,GR,2022-05-24 00:43:25,38.1833,24.2,74.84,65,7,2.26,clear sky
243,Praia Da Vitoria,PT,2022-05-24 00:43:25,38.7333,-27.0667,61.75,88,40,9.64,scattered clouds
244,Shakawe,BW,2022-05-24 00:43:26,-18.3667,21.85,48.58,49,3,4.7,clear sky
245,Orange Cove,US,2022-05-24 00:43:26,36.6244,-119.3137,92.79,10,37,6.2,scattered clouds
246,Butembo,CD,2022-05-24 00:43:27,0.15,29.2833,57.88,97,99,2.59,light rain
247,Constitucion,CL,2022-05-24 00:43:28,-35.3333,-72.4167,52.97,91,100,4.54,overcast clouds
248,Miguel Auza,MX,2022-05-24 00:43:29,24.2933,-103.4503,81.07,8,3,17.18,clear sky
249,Cayenne,GF,2022-05-24 00:43:29,4.9333,-52.3333,81.09,1,0,1.99,clear sky
250,Portland,US,2022-05-24 00:34:32,45.5234,-122.6762,72.18,52,20,9.22,few clouds
251,Saldanha,ZA,2022-05-24 00:43:29,-33.0117,17.9442,59.34,94,100,6.6,overcast clouds
252,Samarinda,ID,2022-05-24 00:43:30,-0.5,117.15,85.24,67,24,2.95,few clouds
253,Codrington,AU,2022-05-24 00:43:30,-38.2667,141.9667,62.44,54,0,7.81,clear sky
254,Tocopilla,CL,2022-05-24 00:41:54,-22.092,-70.1979,62.89,74,19,4.0,few clouds
255,Mamontovo,RU,2022-05-24 00:43:30,52.7055,81.6244,57.76,49,89,11.9,overcast clouds
256,Sabang,ID,2022-05-24 00:43:31,5.8933,95.3214,83.93,74,100,17.11,overcast clouds
257,Mulege,MX,2022-05-24 00:43:31,26.8833,-111.9833,82.44,42,0,5.84,clear sky
258,Palauig,PH,2022-05-24 00:43:31,15.435,119.9045,85.62,68,16,9.28,few clouds
259,Haimen,CN,2022-05-24 00:43:31,23.1935,116.6142,71.49,92,100,13.87,overcast clouds
260,Ipixuna,BR,2022-05-24 00:43:32,-1.7625,-48.8043,72.73,98,100,3.67,overcast clouds
