City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
100,Marathon,US,2022-05-22 14:32:10,44.9,-89.7668,47.95,63,75,12.66
101,Faanui,PF,2022-05-22 14:26:13,-16.4833,-151.75,80.31,71,5,10.47
102,Pochutla,MX,2022-05-22 14:32:10,15.7432,-96.4661,80.82,48,0,5.5
103,Wenling,CN,2022-05-22 14:32:10,28.3669,121.36,64.67,92,100,6.53
104,Kavieng,PG,2022-05-22 14:32:11,-2.5744,150.7967,82.98,69,84,16.35
105,Sitka,US,2022-05-22 14:32:11,57.0531,-135.33,49.89,71,0,5.75
106,Bulungu,CD,2022-05-22 14:32:11,-4.55,18.6,87.01,55,70,1.16
107,Japura,ID,2022-05-22 14:32:12,-0.3167,102.35,76.15,95,19,2.8
108,Saldanha,ZA,2022-05-22 14:32:12,-33.0117,17.9442,68.05,74,95,7.67
109,Carnarvon,AU,2022-05-22 14:32:12,-24.8667,113.6333,72.03,68,97,16.33
110,Lagoa,PT,2022-05-22 14:27:28,39.05,-27.9833,62.4,91,99,7.02
111,Waingapu,ID,2022-05-22 14:32:12,-9.6567,120.2641,77.61,82,79,7.67
112,Salalah,OM,2022-05-22 14:32:13,17.0151,54.0924,86.09,79,40,14.97
113,Kavaratti,IN,2022-05-22 14:32:13,10.5669,72.642,83.23,79,100,16.28
114,Ustye,RU,2022-05-22 14:32:13,59.6304,39.736,42.67,55,100,9.22
115,Agirish,RU,2022-05-22 14:32:14,61.9247,63.0231,44.46,95,100,5.97
116,Merauke,ID,2022-05-22 14:32:14,-8.4667,140.3333,78.76,86,13,12.59
117,Vaini,TO,2022-05-22 14:27:29,-21.2,-175.2,73.56,94,20,3.44
118,San Juan,AR,2022-05-22 14:30:41,-31.5375,-68.5364,69.15,23,94,11.61
119,Ponta Delgada,PT,2022-05-22 14:32:14,37.7333,-25.6667,73.51,100,75,12.66
120,Kachug,RU,2022-05-22 14:32:14,53.9606,105.8817,48.83,77,90,1.54
121,Miranda,CO,2022-05-22 14:32:15,3.2499,-76.2281,75.33,68,28,4.03
